System,Distance,E_electrostatic,E_exchange,E_induction,E_dispersion,E_total_sapt0,delta_hf,E_supramolecular_hf
H2O..H2O_900,4.157406,-0.078455271115,0.142502895709,-0.034268448097,-0.004665534271,0.025113642226,-0.0,0.029779176497
H2O..H2O_901,4.346379,-0.06292374561,0.10096620669,-0.024315637756,-0.003400627137,0.010326196187,-0.0,0.013726823324
H2O..H2O_902,4.535352,-0.050546278702,0.071197763266,-0.017349533364,-0.002545912198,0.000756039003,0.0,0.0033019512
H2O..H2O_903,4.724325,-0.040832007941,0.050014074122,-0.012464070739,-0.001956991023,-0.005238995581,0.0,-0.003282004558
H2O..H2O_904,5.10227,-0.027324819356,0.024476396802,-0.006576920846,-0.001232487622,-0.010657831022,0.0,-0.0094253434
H2O..H2O_905,5.291243,-0.022683735934,0.017077346217,-0.00483056795,-0.000998959263,-0.01143591693,0.0,-0.010436957667
H2O..H2O_906,5.480216,-0.019027995483,0.011903496114,-0.003573470667,-0.000815641704,-0.011513611741,0.0,-0.010697970037
H2O..H2O_907,5.655189,-0.016326761466,0.008523256102,-0.002721673745,-0.000678533984,-0.011203713092,0.0,-0.010525179108
H2O..H2O_908,5.858162,-0.013808625409,0.00577143431,-0.001996156396,-0.000548234296,-0.010581581791,0.0,-0.010033347495
H2O..H2O_909,6.047135,-0.011934185362,0.00401216409,-0.001506204743,-0.000449407132,-0.009877633147,0.0,-0.009428226015
H2O..H2O_910,6.236108,-0.010402840175,0.002783117988,-0.001143150923,-0.000367820445,-0.009130693555,0.0,-0.00876287311
H2O..H2O_911,6.614054,-0.008080257367,0.001324098539,-0.000669649733,-0.000244975776,-0.007670784337,0.0,-0.007425808561
H2O..H2O_912,7.37,-0.004719095486,0.00018377362,-0.000197028137,-8.75915e-05,-0.004819941503,-0.0,-0.004732350003
H2O..H2O_913,9.225,-0.002097165035,1.888927e-06,-3.1325444e-05,-1.5137965e-05,-0.002141739517,0.0,-0.002126601552
H2O..H2O_914,11.08,-0.00114441664,7.805e-09,-8.952411e-06,-4.407661e-06,-0.001157768906,-0.0,-0.001153361245
