System,Distance,dEA,dEB,E1_elst,E1_exch,E_elst,E_exch,E_LM,E_LMA,E_LMB,E_int,E_def_tot[A],E_def_tot[B]
H2O..H2O_900,4.157406,0.01890710376289917,0.05081084950920456,-0.07845521446055415,0.14248628099875277,-0.16924244538550326,0.1655142643840285,-0.03622543399831102,-0.0455410953293125,0.009315661331001479,0.02976433827231796,-0.02663399156641333,0.06012651084020604
H2O..H2O_901,4.346379,0.013768276301590276,0.03606640083906143,-0.06292346834807461,0.10095143360489645,-0.12839150171254232,0.12005217119499852,-0.027781144639348554,-0.036028631628724384,0.00824748698937583,0.013714201983759347,-0.022260355327134107,0.04431388782843726
H2O..H2O_902,4.535352,0.009928944592374478,0.025526778281118823,-0.050545920015988344,0.07118562859563358,-0.09750973437732213,0.08564275064529228,-0.020296548930858194,-0.027565954998038933,0.007269406067180739,0.003292190210605256,-0.017637010405664455,0.03279618434829956
H2O..H2O_903,4.724324999999999,0.007206385492466438,0.018177494460758226,-0.04083189870187098,0.05000462047494551,-0.0746559422158235,0.06034784401227829,-0.014364964757021426,-0.02080089147665376,0.006435926719632334,-0.003289183007341979,-0.013594505984187322,0.02461342118039056
H2O..H2O_904,5.102271,0.0037917369306228466,0.009357546967933672,-0.02732565043658397,0.0244706849767653,-0.045048818034583604,0.029034382094226256,-0.006564119981049998,-0.011275574139261835,0.004711454158211836,-0.009429272022850828,-0.007483837208638988,0.014069001126145508
H2O..H2O_905,5.291244,0.002748096829364499,0.006741727508270401,-0.022684863121728682,0.01707262928949578,-0.03557537183914761,0.01988905125363334,-0.0042436111496471085,-0.008112879770934,0.003869268621286892,-0.010440107397526474,-0.005364782941569501,0.010610996129557293
H2O..H2O_906,5.480217,0.002003332168172278,0.004868141015919036,-0.0190292327437227,0.011899397353043139,-0.028449548102564393,0.01354727465148963,-0.0026698467875121423,-0.005775329073969715,0.0031054822864575726,-0.010700647054495591,-0.0037719969057974367,0.007973623302376609
H2O..H2O_907,5.654828052,0.0015075336270200523,0.0036060701216911184,-0.016328002778859485,0.008519527162830453,-0.02340881898259184,0.009466917846504224,-0.0016993058627008395,-0.004186347271584623,0.0024870414088837833,-0.010527603250077283,-0.0026788136445645705,0.006093111530574902
H2O..H2O_908,5.858163,0.0010951070522082773,0.0025411376484782977,-0.013809848918995726,0.005768006595585001,-0.018913407509387525,0.006217836156389694,-0.0009762930603898212,-0.0028567701188535466,0.0018804770584637254,-0.010035619712701078,-0.0017616630666452693,0.004421614706942023
H2O..H2O_909,6.047136,0.0008235312491393643,0.0018330768921117624,-0.011935420276238062,0.004008958846798494,-0.015717818354236357,0.004198919357434,-0.0005681471517249292,-0.0019921174359325278,0.0014239702842075985,-0.00943043800727616,-0.0011685861867931635,0.003257047176319361
H2O..H2O_910,6.236108999999999,0.0006262584378049496,0.0013199265811891792,-0.010404115785139112,0.0027801181425002467,-0.013219632548413074,0.0028306261383062026,-0.0003222321707454512,-0.0013835522298393244,0.0010613200590938732,-0.008765053561858194,-0.0007572937920343747,0.0023812466402830523
H2O..H2O_911,6.614055,0.0003712664132251575,0.00068033401883838,-0.008081623972408636,0.0013215278777712275,-0.009660664295994437,0.0012757685544555284,-9.45508911769366e-05,-0.0006596340822540014,0.0005650831910770648,-0.007427846200652307,-0.0002883676690288439,0.0012454172099154448
H2O..H2O_912,7.55892,0.00011558929708144206,0.00013487426704728023,-0.004720697227472925,0.00018249186232043805,-0.005138862359270746,0.00015132932810659437,3.6796534459426766e-06,-9.513445846209834e-05,9.881411190804101e-05,-0.004733389813589487,2.0454838619343718e-05,0.00023368837895532124
H2O..H2O_913,9.448649999999999,1.9771587162153992e-05,1.0989632869495836e-05,-0.0020987175164766114,1.8402297265662435e-06,-0.0021584528265155,1.8361615931666506e-07,8.496789405398886e-07,-9.66533733048891e-07,1.8162126735887796e-06,-0.0021266583113839937,1.88050534291051e-05,1.2805845543084615e-05
H2O..H2O_914,11.338379999999999,5.548788379883263e-06,2.7377156897046007e-06,-0.0011451348420727925,7.571914157310233e-09,-0.0011616667185521123,-6.0494809209742095e-09,8.041553201110219e-09,-2.2377264485839987e-09,1.0279279649694217e-08,-0.0011533782224102443,5.546550653434679e-06,2.747994969354295e-06
